task_family,hidden_variable,count,safe_completion,task_success,regret,unsafe_rate,slip_rate,damage_rate,alias_rate,abstain_rate,certificate_precision,certificate_recall,boundary_f1,irreducible_score,hidden_need
cable-route,tactile_latency,9,0.7290141633678373,0.7949365611302084,0.2068504933325735,0.21974132587457,0.21682620840360345,0.2212435875632431,0.5744117153724153,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10678774323123091,0.20615046711719118
drape,adhesion,9,0.7522689139985841,0.8145490282571299,0.1881238243546378,0.20760038086181923,0.20937986605100262,0.18574187944590237,0.561211209840803,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.0881718873497288,0.18339097482130778
drape,backlash,9,0.746990835098931,0.8097521863710552,0.1905940205833684,0.20920450424041442,0.21039381897861487,0.1866544370807534,0.5626311273787877,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.0907067696687595,0.18583910850748864
drape,cable_tension,9,0.36315003659499845,0.5094897115953072,0.6259461992915598,0.48779891666769576,0.36955597274663227,0.3299003754719691,0.9916111054715336,0.0,0.5661333333333334,0.011111111111111112,0.019444444444444445,0.488612154088803,0.9725160059133449
drape,compliance,9,0.5130819466437562,0.626057535054112,0.45248887407338123,0.376585294701186,0.3051920756804838,0.27197286811243543,0.8292713664415197,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3277024114234318,0.650418141117366
drape,contact_mode,9,0.48302489828486483,0.6021011006676654,0.48369296554504143,0.3969206746093352,0.3181246722493946,0.28361220502445517,0.8464232488390118,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3600339028457088,0.6862712932826945
drape,fluid_fill,9,0.7469030476812826,0.8092013679115991,0.1883092521931883,0.20766106743438856,0.2091737976989615,0.18555641792906538,0.5638972272671637,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.087656716469626,0.18802203934951617
drape,friction,9,0.5000163915454723,0.615552358773551,0.465526287534549,0.38511989076026226,0.3108115112557765,0.2770303601301988,0.8344051068543394,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.34175100036166345,0.6623890204198793
drape,grasp_affordance,9,0.7346554765609321,0.7993150896709931,0.2003784624033738,0.21553204370020354,0.2142448685081662,0.19012038165734957,0.5698316667512288,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10033439349263769,0.19825383156342155
drape,local_geometry,9,0.7412656033958673,0.8055567121990862,0.19839024752548218,0.21430369601073013,0.2137294031492617,0.18965646283433557,0.5659340037742501,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09904573009537662,0.19153372298242358
drape,occlusion_depth,9,0.7427249718588498,0.806908279168423,0.19792181540761053,0.21394435769857745,0.2131350275748137,0.18912152481733235,0.5695708306363627,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09755979115925648,0.1978041141239971
drape,payload,9,0.5250935810122039,0.6357031582496032,0.4404431620849621,0.3686985907913311,0.30003484686191945,0.26733136217572745,0.8241438005656364,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3148093393770209,0.6411180284268215
drape,support_stiffness,9,0.7470620901670918,0.8089011818127579,0.18597487453936037,0.20613030548555467,0.20824214606829108,0.18471793146146198,0.5621553067602767,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.08532758739295,0.18501872813074532
drape,surface_anisotropy,9,0.5074278847538918,0.6212280494800354,0.4569787676493682,0.3793338824204788,0.3062108045630654,0.2728897241067589,0.839443422469816,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3302492336298858,0.6725400688806302
drape,tactile_latency,9,0.7420329520708203,0.8055347923480884,0.1944762581559229,0.21167280092422752,0.21163548792575404,0.1877719391331786,0.5682462055158517,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09381094203660735,0.19552027770932284
handoff,adhesion,9,0.7402738194894278,0.8033978539838577,0.1923972469276568,0.21041344831476602,0.21129685238163334,0.20346716714347002,0.5622057220720627,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09296435317630564,0.18510565108210064
handoff,backlash,9,0.7397505348085979,0.8042543954053258,0.19954899319268507,0.21501286865575944,0.21400782237186455,0.2059070401346781,0.5683908171079841,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09974177815188358,0.19576960804058563
handoff,cable_tension,9,0.7353469536113068,0.8011868797840436,0.20628944109127512,0.2194664205757893,0.21704129780050133,0.20863716802045118,0.5699807118767408,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10732546672347554,0.19851080591775233
handoff,compliance,9,0.49166070670240125,0.6097600050462595,0.47861464828422456,0.39366432781286087,0.31632417599638146,0.29799175839674324,0.8407643869755055,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3555326622131758,0.6753099480412289
handoff,contact_mode,9,0.45837780685487295,0.5825655239388685,0.5097898583997966,0.4139590569466516,0.32916928320777405,0.3095523548869966,0.8585457641896674,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3876454302416575,0.7096356561014098
handoff,fluid_fill,9,0.7443437203582577,0.8073103245895588,0.1916459661046385,0.20988868077100375,0.21079720807034028,0.2030174872633062,0.5635498335493562,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09171524239807284,0.18742308466364097
handoff,friction,9,0.48118982542354705,0.6005779039935345,0.4850786715270924,0.3979602618999587,0.31941137800450403,0.3007702402040536,0.8405632429426312,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3632506672334822,0.6750279998956406
handoff,grasp_affordance,9,0.7359816859394995,0.8010107454632567,0.20216622849041951,0.2167635317458569,0.2152953079690532,0.20706577717214783,0.5679922267543949,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10296049214485518,0.19508238329301808
handoff,local_geometry,9,0.7341280789825285,0.7995944490311879,0.20437266129344733,0.21822123349553146,0.21630750013522984,0.20797675012170688,0.5683047861161423,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10549097256029692,0.19562127874430668
handoff,occlusion_depth,9,0.3646496595158619,0.5101736018999792,0.6219448215420251,0.4850798079470578,0.3673317436365896,0.3438985692729306,0.9946481211132411,0.0,0.5661333333333334,0.011111111111111112,0.019444444444444445,0.48305158131369613,0.9873994164129337
handoff,payload,9,0.5052475330758165,0.6196562018558812,0.45973437902960285,0.38136222926688235,0.3085059922463407,0.29095539302170664,0.8303286846991859,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.335987202838074,0.6548062288843037
handoff,support_stiffness,9,0.7507244113682421,0.8126310089802057,0.1861578521506161,0.20635532537321177,0.20876724403682173,0.2011905196331396,0.558231327773463,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.08664033231427665,0.1782532471189973
handoff,surface_anisotropy,9,0.49114656124129336,0.6087254275007153,0.47622368394071735,0.39192955419807307,0.31450222799097927,0.2963520051918812,0.8470409530737774,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.35097779219967035,0.6852607701771372
handoff,tactile_latency,9,0.3736520103546026,0.5173695404842976,0.6128629523170085,0.47905843376564966,0.36311031701932645,0.34009928531739386,0.9937913755960118,0.0,0.5878666666666666,0.022222222222222223,0.03888888888888889,0.47249801477053843,0.9785696338967256
insert,adhesion,9,0.7475393019958828,0.8107055133226848,0.19268042405377014,0.21055403775600673,0.2112060259252745,0.19538542333274705,0.5642653103808564,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09273728703540846,0.18865666540760687
insert,backlash,9,0.7441902993374458,0.8078676617969688,0.19532764275374254,0.21225787486507655,0.21224504567416713,0.19632054110675046,0.5661823062317797,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.09533483640764018,0.1919618306678194
insert,cable_tension,9,0.7283614432178195,0.7946574082978389,0.20872304083969456,0.22098655026673136,0.21774586249469816,0.20127127624522834,0.5740863974080219,0.0,0.7000000000000001,0.09999999999999999,0.17500000000000002,0.10908687845896758,0.2055895740751336
insert,compliance,9,0.5041954159866523,0.6191923499124965,0.46279653900625356,0.3833231130861471,0.3095930927147907,0.2839337834433116,0.8337051705717614,0.0,0.6830666666666667,0.08888888888888888,0.15555555555555556,0.3387049540091991,0.6582996897782794
